name,DOB,weight,height,birth place,one day races,GC,TT,sprint,climber,PCS rank,UCI rank,All time rank,link,lonlat
Alexey Lutsenko,1992-09-07,74.0,1.74,Petropavl,1637,2513,780,1048,2301,68,37,362,rider/aleksey-lutsenko,"(69.1334984, 54.8668104)"
Torjus Sleen,1997-03-30,65.0,1.7,Tønsberg,23,54,55,27,12,1238,3242,1000000,rider/torjus-sleen,"(10.28204911087724, 59.3549795)"
Ollie Jones,1996-04-23,75.0,1.89,Upper Hutt,2,20,23,15,10,1109,1185,1000000,rider/ollie-jones,"(175.0699589, -41.1240674)"
Luca Mozzato,1998-02-15,67.0,1.78,Arzignano,728,61,0,676,191,113,86,1000000,rider/luca-mozzato,"(11.338594, 45.519292)"
Marc Streel,1971-08-12,69.0,1.84,Waremme,794,653,1530,1340,2,1000000,1000000,1100,rider/marc-streel,"(5.2546191, 50.6976875)"
Óscar Pelegrí,1994-05-30,62.0,1.75,Castellón de la Plana,40,27,12,191,32,742,758,1000000,rider/oscar-pelegri,"(-0.0377354, 39.9860347)"
Tony Hurel,1987-11-01,66.0,1.69,Lisieux ,298,173,106,854,74,1000000,1000000,1000000,rider/tony-hurel,"(None, None)"
Jonathan Castroviejo,1987-04-27,62.0,1.71,Getxo,253,1724,4339,112,787,412,1406,1341,rider/jonathan-castroviejo,"(-3.0087671, 43.3479409)"
Fernando Escartín,1968-01-24,61.0,1.74,Biescas,1176,6392,1600,2238,2894,1000000,1000000,325,rider/fernando-escartin,"(-0.3215867, 42.6285893)"
Liam Bertazzo,1992-02-17,75.0,1.8,Este,118,140,74,582,43,1000000,1000000,1000000,rider/liam-bertazzo,"(11.659796, 45.2240069)"
Jorrit Walgien,1982-05-27,78.0,1.86,Amersfoort,14,0,0,79,0,1000000,1000000,1000000,rider/jorrit-walgien,"(5.3896944, 52.1562499)"
Simone Sterbini,1993-12-11,67.0,1.92,Palestrina,10,25,35,26,90,1000000,1000000,1000000,rider/simone-sterbini,"(12.8912487, 41.8389656)"
Martijn Tusveld,1993-09-09,70.0,1.87,Utrecht,111,466,313,148,265,455,615,1000000,rider/martijn-tusveld,"(5.12768396945229, 52.080985600000005)"
Radim Korinek,1973-12-01,69.0,1.83,Olomouc,0,8,0,23,0,1000000,1000000,1000000,rider/radim-korinek,"(17.251143, 49.5940567)"
Cyril Saugrain,1973-06-22,62.0,1.7,Livry-Gargan,444,57,2,578,33,1000000,1000000,1000000,rider/cyril-saugrain,"(2.5298854, 48.917335)"
Amaro Antunes,1990-11-27,58.0,1.73,Vila Nova de Cacela,90,771,159,130,741,387,446,2035,rider/amaro-manuel-antunes,"(-7.5333882, 37.1754658)"
David Clinger,1977-11-22,77.0,1.83,Los Angeles,349,83,157,650,44,1000000,1000000,1000000,rider/david-clinger,"(-118.242766, 34.0536909)"
Omer Goldstein,1996-08-13,61.0,1.74,Misgav,94,89,156,27,99,497,708,1000000,rider/omer-goldstein,"(35.220368861416205, 32.93410935)"
Aydar Zakarin,1994-04-19,65.0,1.87,,0,0,0,0,0,1000000,1000000,1000000,rider/aydar-zakarin,"(None, None)"
Santiago Umba,2002-11-20,58.0,1.7,Arcabuco,21,49,2,11,88,648,686,1000000,rider/santiago-umba,"(-73.45137111659105, 5.75520695)"
Adrián Bustamante,1998-06-10,65.0,1.75,,54,0,2,6,22,2059,1000000,1000000,rider/adrian-bustamante,"(None, None)"
Edward Planckaert,1995-02-01,71.0,1.78,Kortrijk,470,72,18,620,28,694,1241,1000000,rider/edward-planckaert,"(3.2659884, 50.8276429)"
Tomas Liska,1976-04-02,85.0,1.8,Ziar nad Hronom,0,0,0,8,0,1000000,1000000,1000000,rider/tomas-liska,"(18.8500892, 48.5910183)"
Andrea Garosio,1993-12-06,58.0,1.75,Brescia,124,66,4,31,89,748,556,1000000,rider/andrea-garosio,"(10.4258729694612, 45.77958045)"
Kristoffer Halvorsen,1996-04-13,69.0,1.79,Kristiansand,809,244,2,1245,147,697,754,1938,rider/kristoffer-halvorsen,"(7.93185802875815, 58.0856276)"
Ben O'Connor,1995-11-25,67.0,1.88,Subiaco,180,1642,214,88,1516,19,20,1590,rider/ben-o-connor,"(13.0944317, 41.9267153)"
Sarawut Sirironnachai,1992-08-23,68.0,1.75,Nakhon Si Thammatat,42,188,72,298,54,1135,1141,1000000,rider/sarawut-sirironnachai,"(None, None)"
Oscar Laguna,1978-02-21,61.0,1.69,Puigreig,55,110,8,156,89,1000000,1000000,1000000,rider/oscar-laguna,"(1.7412406, 41.6068303)"
Amanuel Ghebreigzabhier,1994-08-17,68.0,1.87,Addis Abeba,300,515,150,320,489,483,487,1000000,rider/amanuel-ghebreigzabhier,"(38.7612525, 9.0107934)"
Andrey Zeits,1986-12-14,73.0,1.89,Oblast Pavlodar,293,1398,125,174,609,342,324,1000000,rider/andrey-zeits,"(76.4285287, 51.8111545)"
Tobias Bayer,1999-11-17,71.0,1.87,Straß im Attergau,101,99,3,80,102,327,241,1000000,rider/tobias-bayer,"(13.4540582, 47.9092541)"
Przemysław Kasperkiewicz,1994-03-01,71.0,1.82,Kalisz,23,63,56,160,52,1000000,2054,1000000,rider/przemyslaw-kasperkiewicz,"(18.079590087700037, 51.74736505)"
Clément Russo,1995-01-20,73.0,1.86,Lyon,340,166,38,301,38,438,831,1000000,rider/clement-russo,"(4.8320114, 45.7578137)"
Serge Baguet,1969-08-18,67.0,1.77,Opbrakel,2437,491,22,1838,541,1000000,1000000,1213,rider/serge-baguet,"(3.7463234, 50.7921614)"
Josef Černý,1993-05-11,77.0,1.88,Frýdek-Místek,184,532,1171,574,201,334,368,1000000,rider/josef-cerny,"(18.3483416, 49.685635)"
Maximilian Schmidbauer,2001-12-23,80.0,1.87,Vienna,0,0,0,0,0,2224,1520,1000000,rider/maximilian-schmidbauer,"(16.3725042, 48.2083537)"
Daniel Alejandro Mendez,2000-06-02,57.0,1.71,Bogotá,0,5,0,6,6,1000000,1000000,1000000,rider/daniel-alejandro-mendez-norena,"(-74.083652, 4.6533326)"
Lasse Norman Hansen,1992-02-11,75.0,1.8,Odense,314,391,645,432,45,1219,1961,1000000,rider/lasse-norman-hansen,"(10.3852104, 55.3997225)"
Matteo Badilatti,1992-07-30,62.0,1.78,Poschiavo,39,472,54,36,388,439,474,1000000,rider/matteo-badilatti,"(10.0581552, 46.3264671)"
Luka Pibernik,1993-10-23,60.0,1.77,Ljubljana,368,196,38,276,86,1000000,1000000,1000000,rider/luka-pibernik,"(14.5069289, 46.0500268)"
Jack Drage,2002-11-11,55.0,1.78,Christchurch,2,0,0,2,2,1000000,1000000,1000000,rider/jack-drage,"(172.6366455, -43.530955)"
Gilles Bouvard,1969-10-30,70.0,1.8,Bourg-en-Bresse,523,817,136,962,48,1000000,1000000,1000000,rider/gilles-bouvard,"(5.2250324, 46.2051192)"
Julien Mortier,1997-07-20,66.0,1.83,Tournai,58,8,0,108,15,1000000,1000000,1000000,rider/julien-mortier,"(3.3878179, 50.6056458)"
Tim van Dijke,2000-03-15,74.0,1.9,Goes,23,8,48,79,0,725,628,1000000,rider/tim-van-dijke,"(3.8897596, 51.5031033)"
Pascal Richard,1964-03-16,67.0,1.77,Vevey,4389,2278,1372,3278,1286,1000000,1000000,126,rider/pascal-richard,"(6.8418655, 46.4602978)"
Vicente García de Mateos,1988-09-19,68.0,1.8,Manzanares,178,403,218,615,497,1324,1401,1000000,rider/vicente-garcia-de-mateus-rubio,"(-3.3722143, 38.9962242)"
Lindsay De Vylder,1995-05-30,70.0,1.83,Wetteren,82,5,0,66,25,1056,1749,1000000,rider/lindsay-de-vylder,"(3.8731040535437895, 50.9983603)"
Tadaaki Nakai,1996-12-12,62.0,1.78,,0,0,3,13,7,2337,3023,1000000,rider/tadaaki-nakai,"(None, None)"
Aaron Van Poucke,1998-04-04,68.0,1.77,Bruges,130,112,0,123,54,377,1238,1000000,rider/aaron-van-poucke,"(3.226772, 51.2085526)"
Laurent Pichon,1986-07-19,69.0,1.78,Quimper,1644,634,84,1508,258,300,300,1856,rider/laurent-pichon,"(-4.1024782, 47.9960325)"
Mathieu Burgaudeau,1998-11-17,61.0,1.68,Noirmoutier-en-l'Île,271,130,7,34,235,213,190,1000000,rider/mathieu-burgaudeau,"(-2.2441449, 47.000089)"
Ruben Apers,1998-08-25,70.0,1.79,Vrasene,54,1,13,27,0,1036,1853,1000000,rider/ruben-apers,"(4.194377, 51.2191283)"
Jarne Van De Paar,2000-10-23,79.0,1.87,,17,11,0,86,0,1000000,2926,1000000,rider/jarne-van-de-paar,"(None, None)"
Mathias Larsen,1999-05-02,72.0,1.87,Copenhagen,23,5,0,70,1,1150,697,1000000,rider/mathias-larsen,"(12.5700724, 55.6867243)"
Alexey Vermeulen,1994-12-16,66.0,1.78,Memphis,87,128,73,68,22,1925,971,1000000,rider/alexey-vermeulen,"(-89.9668758, 35.1335022)"
Sigvard Kukk,1972-09-16,74.0,1.8,Tallinn,17,0,8,43,1,1000000,1000000,1000000,rider/sigvard-kukk,"(24.7453688, 59.4372155)"
James Knox,1995-11-04,58.0,1.73,Kendal,106,928,51,30,758,733,1756,1000000,rider/james-knox,"(-2.747183, 54.3289795)"
Atle Pedersen,1964-07-29,70.0,1.73,Larvik,169,149,0,209,0,1000000,1000000,1000000,rider/atle-pedersen,"(10.021929959972812, 59.0967308)"
Damiano Cima,1993-09-13,70.0,1.8,Brescia,109,141,2,450,20,1171,1276,1000000,rider/damiano-cima,"(10.4258729694612, 45.77958045)"
Hernando Bohórquez,1992-06-22,68.0,1.78,Úmbita,89,163,35,40,78,1200,1000000,1000000,rider/hernando-bohorquez,"(-73.4445556, 5.2191111)"
Byron Guamá,1985-06-14,61.0,1.65,San Isidro,417,233,155,1369,271,1139,685,1000000,rider/byron-guama,"(-0.8387399, 38.1707587)"
Georg Zimmermann,1997-10-11,70.0,1.81,Augsburg,302,259,0,148,230,167,187,1000000,rider/georg-zimmermann,"(10.8986971, 48.3668041)"
Carlos Rodríguez,2001-02-02,67.0,1.83,Almuñécar,125,386,58,4,365,110,92,1000000,rider/carlos-rodriguez-cano,"(-3.68968, 36.7328699)"
Sander Helven,1990-05-30,74.0,1.97,Hasselt,123,20,15,123,3,1000000,1000000,1000000,rider/sander-helven,"(5.3378043, 50.9303735)"
Kelland O'Brien,1998-05-22,79.0,1.92,Melbourne,89,6,64,26,30,575,578,1000000,rider/kelland-brien,"(144.9631608, -37.8142176)"
Pavel Kochetkov,1986-03-07,70.0,1.84,Kamensk-Uralsky,261,459,41,567,236,1137,2227,1000000,rider/pavel-kochetkov,"(61.917797, 56.415451)"
Sacha Modolo,1987-06-19,67.0,1.8,Conegliano,1812,535,19,5298,848,471,3235,399,rider/sacha-modolo,"(12.2977566, 45.8862172)"
Joaquim Silva,1992-03-19,66.0,1.85,Penafiel,5,267,74,14,192,966,1146,1000000,rider/joaquim-silva,"(-8.292240964931633, 41.2039194)"
Robert Kessler,1995-10-30,78.0,1.84,Berlin,16,39,63,158,0,1000000,1000000,1000000,rider/robert-kessler,"(13.3888599, 52.5170365)"
João Benta,1986-12-21,60.0,1.79,Esposende,1,270,44,70,364,1552,1759,1000000,rider/joao-benta,"(-8.7792538, 41.5315251)"
Dylan Groenewegen,1993-06-21,70.0,1.77,Amsterdam,2760,260,15,6366,170,91,85,212,rider/dylan-groenewegen,"(4.8936041, 52.3727598)"
Lennard Kämna,1996-09-09,65.0,1.81,Wedel,235,529,469,92,1140,154,214,1848,rider/lennard-kamna,"(9.7038772, 53.5810226)"
Dylan Bouwmans,1997-01-16,64.0,1.78,Gemert,7,0,1,57,2,1000000,1000000,1000000,rider/dylan-boumans,"(5.6864592, 51.5589833)"
Paul Penhoët,2001-12-28,64.0,1.74,Clamart,43,49,0,156,39,487,373,1000000,rider/paul-penhoet,"(2.2630292, 48.800368)"
Kevin Livingston,1973-05-24,70.0,1.83,Saint-Louis,97,613,193,280,94,1000000,1000000,1000000,rider/kevin-livingston,"(-90.1995853, 38.6264256)"
Erik Dekker,1970-08-21,66.0,1.82,Hoogeveen,3565,3204,3676,3170,1036,1000000,1000000,145,rider/erik-dekker,"(6.49308148854467, 52.7264258)"
Roger Kluge,1986-02-05,83.0,1.92,Eisenhüttenstadt,446,432,485,1348,117,889,2530,1000000,rider/roger-kluge,"(14.6294413, 52.1448863)"
Nicola Bagioli,1995-02-19,64.0,1.68,Sondrio,315,39,0,152,118,1000000,1000000,1000000,rider/nicola-bagioli,"(10.258413671017705, 46.32336235)"
Daan Hoole,1999-02-22,82.0,1.98,Zuidland,77,42,162,43,8,538,430,1000000,rider/daan-hoole,"(4.2577294, 51.8220839)"
Emīls Liepiņš,1992-10-29,67.0,1.75,Dobele,471,229,162,1446,66,668,673,1000000,rider/emils-liepins,"(23.277275, 56.6257485)"
Dries Van Gestel,1994-09-30,71.0,1.87,Turnhout,796,194,2,498,78,204,94,1000000,rider/dries-van-gestel,"(4.948461, 51.3233812)"
Nikolay Zhurkin,1991-05-05,77.0,1.88,Dushanbe,0,0,1,35,5,1000000,1000000,1000000,rider/nikolay-zhurkin,"(68.81521423589763, 38.5425835)"
Pello Bilbao,1990-02-25,60.0,1.74,Guernica,851,2991,799,546,3900,14,23,870,rider/pello-bilbao,"(-2.6778511, 43.3143628)"
Andrea Peron,1988-10-28,70.0,1.78,Borgoricco,108,68,30,711,67,1052,1967,1000000,rider/andrea-peron,"(11.9658789, 45.5335614)"
Scott Thwaites,1990-02-12,71.0,1.78,Steeton,780,199,1,710,194,778,2188,1000000,rider/scott-thwaites,"(-1.9494405, 53.896673)"
Szymon Sajnok,1997-08-24,75.0,1.84,Kartuzy,254,97,192,514,115,762,912,1000000,rider/szymon-sajnok,"(18.1973639, 54.3342281)"
Mads Pedersen,1995-12-18,70.0,1.79,Tølløse,1982,763,949,1654,643,47,43,472,rider/mads-pedersen,"(11.7704158, 55.6108727)"
Davide Bramati,1968-06-28,72.0,1.83,Vaprio d'Adda,488,526,10,936,5,1000000,1000000,1000000,rider/davide-bramati,"(9.5291744, 45.5765762)"
Daniel Bigham,1991-10-02,75.0,1.83,Newcastle-under-Lyme,7,0,74,24,0,1148,687,1000000,rider/daniel-bigham,"(-2.2273919, 53.0117627)"
Jonas Koch,1993-06-25,75.0,1.87,Schwäbisch Hall,490,285,36,516,282,349,281,1000000,rider/jonas-koch,"(9.7369047, 49.1123963)"
Hans De Clercq,1969-03-03,80.0,1.87,Deinze,1041,270,14,948,48,1000000,1000000,1000000,rider/hans-de-clercq,"(3.5274017, 50.9840526)"
Koen Beeckman,1973-09-02,66.0,1.77,Wetteren,263,114,12,357,0,1000000,1000000,1000000,rider/koen-beeckman,"(3.8731040535437895, 50.9983603)"
Innar Mändoja,1978-02-28,69.0,1.75,Jõgeva,2,5,1,55,0,1000000,1000000,1000000,rider/innar-mandoja,"(26.399928038398983, 58.7634819)"
Morné Van Niekerk,1995-08-17,64.0,1.78,Centurion,40,24,8,40,20,658,597,1000000,rider/morne-van-niekerk,"(28.180278, -25.836389)"
Simon Pellaud,1992-11-06,70.0,1.79,Martigny,153,277,35,274,193,680,432,1000000,rider/simon-pellaud,"(4.1375, 49.8597222)"
Sebastian Schönberger,1994-05-14,66.0,1.81,Schalchen,193,181,11,92,134,367,376,1000000,rider/sebastian-schonberger,"(13.1554855, 48.1188102)"
Conn McDunphy,1997-02-03,70.0,1.85,Kilcock,7,0,63,14,1,1676,780,1000000,rider/conn-mcdunphy,"(-6.6678589, 53.400763)"
João Rodrigues,1994-11-15,60.0,1.75,Faro,16,376,305,69,240,1195,1429,1000000,rider/joao-rodrigues,"(-7.9351771, 37.0162727)"
Enrico Battaglin,1989-11-17,64.0,1.75,Marostica,1044,421,29,1045,1739,867,1892,1992,rider/enrico-battaglin,"(11.6568938, 45.7453924)"
Jaume Sureda,1996-07-25,70.0,1.8,Son Servera,7,37,0,148,4,1000000,1000000,1000000,rider/jaume-sureda,"(3.3605983, 39.6222728)"
Tom Bohli,1994-01-17,71.0,1.83,Uznach,173,176,879,155,30,731,1080,1000000,rider/tom-bohli,"(8.9856079, 47.2250636)"
Frank Corvers,1969-11-12,77.0,1.84,Koersel,689,100,105,556,15,1000000,1000000,1000000,rider/frank-corvers,"(5.2686384, 51.0573964)"
Dario Frigo,1973-09-18,66.0,1.81,Saronno,2048,2923,2756,1686,2270,1000000,1000000,306,rider/dario-frigo,"(9.0373283, 45.6256764)"
Michael Valgren,1992-02-07,71.0,1.79,Østerild,2695,1148,451,436,1858,81,58,729,rider/michael-valgren-andersen,"(8.8488575, 57.0304231)"
Laurent Gervais,1997-11-03,72.0,1.8,,10,5,5,20,3,1000000,1000000,1000000,rider/laurent-gervais,"(None, None)"
Jon Odriozola,1970-12-26,70.0,1.8,Oñati,332,530,277,712,268,1000000,1000000,1000000,rider/jon-odriozola,"(-2.4137149, 43.0328523)"
Calum Johnston,1998-11-01,56.0,1.73,Glasgow,0,8,0,9,1,1680,2330,1000000,rider/calum-johnston,"(-4.2488787, 55.8609825)"
Simon Carr,1998-08-29,63.0,1.82,Hereford,185,85,2,87,191,450,450,1000000,rider/simon-carr,"(-2.7151735, 52.0553813)"
Vojtěch Řepa,2000-08-14,71.0,1.84,Velká Bíteš,8,41,16,22,20,1243,2194,1000000,rider/vojtech-repa,"(16.2271255, 49.2883646)"
Yauheni Karaliok,1996-06-09,75.0,1.81,Grodno,72,25,165,324,0,790,471,1000000,rider/yauheni-karaliok,"(23.8342648, 53.6834599)"
Romain Hardy,1988-08-24,62.0,1.72,Flers,1219,791,15,1161,878,385,362,1000000,rider/romain-hardy,"(2.25255, 50.32053)"
Paul Taebling,1999-12-16,77.0,1.97,,14,3,1,29,0,2356,1000000,1000000,rider/paul-taebling,"(None, None)"
Tiago Machado,1985-10-18,63.0,1.78,Vila Nova de Famalicão,383,3123,1696,574,1220,2114,2167,1317,rider/tiago-machado,"(-8.5187481, 41.4065175)"
Enzo Wouters,1996-03-21,75.0,1.83,Olen,107,15,0,342,0,1000000,1000000,1000000,rider/enzo-wouters,"(4.8597257, 51.1438611)"
Enrique Sanz,1989-09-11,67.0,1.75,Orcoyen,451,98,18,1334,162,2048,3238,1000000,rider/enrique-sanz,"(-1.7022679, 42.8234903)"
Régis Lhuillier,1980-05-28,69.0,1.83,Saint-Dié-des-Vosges,7,16,2,120,2,1000000,1000000,1000000,rider/regis-lhuillier,"(6.9477708, 48.2873153)"
Karol Kuklewicz,1997-10-16,69.0,1.74,,0,1,12,32,0,1000000,1000000,1000000,rider/karol-kuklewicz,"(None, None)"
Thomas Delphis,1999-06-01,70.0,1.85,Annecy,40,0,18,0,0,2376,2088,1000000,rider/thomas-delphis,"(6.1288847, 45.8992348)"
Iustin-Ioan Văidian,2001-01-05,67.0,1.81,Sibiu,2,0,26,0,0,1000000,1701,1000000,rider/iustin-ioan-vaidian,"(24.1519202, 45.7973912)"
Bauke Mollema,1986-11-26,64.0,1.83,Groningen,4584,5668,1666,850,8806,42,54,196,rider/bauke-mollema,"(6.5680077, 53.2190652)"
Joonas Henttala,1991-09-17,73.0,1.87,Porvoo,57,25,13,24,13,1253,975,1000000,rider/joonas-henttala,"(25.6604862, 60.3953913)"
Viktor Verschaeve,1998-08-03,62.0,1.71,Brasschaat,24,13,0,30,16,1283,2391,1000000,rider/viktor-verschaeve,"(4.4917295, 51.2900693)"
Christoph Sauser,1976-04-13,65.0,1.81,Sigriswil,0,1,10,4,5,1000000,1000000,1000000,rider/christoph-sauser,"(7.7160699, 46.7164293)"
Andres Lauk,1964-10-16,77.0,1.78,Lümanda,62,0,135,107,0,1000000,1000000,1000000,rider/andres-lauk,"(22.052923894566376, 58.28561545)"
Matthew Gilmore,1972-09-11,67.0,1.78,Ghent,184,0,0,211,0,1000000,1000000,1000000,rider/matthew-james-gilmore,"(3.7250121, 51.0538286)"
Andrea Peron,1971-08-14,70.0,1.83,Varese,1250,1657,2646,1103,710,1000000,1000000,1333,rider/andrea-peron-1,"(8.754157594917665, 45.83971285)"
Rafael Mateos,1976-02-23,72.0,1.82,,28,24,20,106,0,1000000,1000000,1000000,rider/rafael-mateos-perez,"(None, None)"
Arthur Vichot,1988-11-26,74.0,1.84,Colombier-Fontaine,1729,1246,215,879,1294,1000000,1000000,823,rider/arthur-vichot,"(6.6926206, 47.4541385)"
Manuel Belletti,1985-10-14,72.0,1.75,Cesena,2041,185,64,4433,521,1000000,1000000,796,rider/manuel-belletti,"(12.2422442, 44.136352)"
Jenthe Biermans,1995-10-30,78.0,1.84,Geel,278,234,56,196,104,466,647,1000000,rider/jenthe-biermans,"(4.9903187, 51.1610826)"
Daniel Freitas,1991-05-10,64.0,1.71,Vila Nova de Gaia,47,23,59,202,78,967,843,1000000,rider/daniel-freitas,"(-8.6058415, 41.1300103)"
Muhsin Al Redha Misbah,1997-07-23,56.0,1.73,Kuala Selangor,51,19,30,24,6,1000000,3052,1000000,rider/muhsin-al-redha-misbah,"(101.3455503, 3.3621022)"
Giacomo Nizzolo,1989-01-30,72.0,1.84,Milan,4156,541,234,5860,1242,51,47,262,rider/giacomo-nizzolo,"(9.1896346, 45.4641943)"
Giovanni Lonardi,1996-11-09,70.0,1.8,Verona,151,54,3,715,154,723,1281,1000000,rider/giovanni-lonardi,"(10.9924122, 45.4384958)"
Koen de Kort,1982-09-08,69.0,1.79,Gouda,702,1002,403,798,367,1000000,1000000,1000000,rider/koen-de-kort,"(4.711122134697802, 52.018119350000006)"
Nikolas Maes,1986-04-09,78.0,1.9,Kortrijk,1036,505,112,1439,180,1000000,1000000,1000000,rider/nikolas-maes,"(3.2659884, 50.8276429)"
Samuel José Caldeira,1985-11-30,76.0,1.8,Manta Rota,41,114,336,1060,66,2045,1000000,1000000,rider/samuel-caldeira,"(-7.5206208, 37.1666602)"
Lewis Askey,2001-05-04,75.0,1.87,Cannock,141,23,5,32,28,322,239,1000000,rider/lewis-askey,"(-2.0324197, 52.688227)"
Diego Ferrari,1970-11-17,74.0,1.82,Cremona,300,160,135,289,45,1000000,1000000,1000000,rider/diego-ferrari,"(10.037037979628856, 45.22086405)"
Abderrahmane Mansouri,1995-01-13,66.0,1.72,,93,154,110,400,71,1647,1500,1000000,rider/abderrahmane-mansouri,"(None, None)"
